term,occurence,TF-IDF
pictorial,2,0.004988586077586134
pioneer,2,0.004988586077586134
pipeline,1,0.002494293038793067
plan,5,0.012471465193965336
plaza,1,0.002494293038793067
please,11,0.02743722342672374
point,1,0.002494293038793067
political,4,0.009977172155172269
powder,3,0.007482879116379202
power,25,0.06235732596982668
preliminary,5,0.012471465193965336
preservation,2,0.004988586077586134
pretty,2,0.004988586077586134
price,2,0.004988586077586134
primary,1,0.002494293038793067
prime,13,0.03242580950430988
prince,1,0.002494293038793067
printing,1,0.002494293038793067
privileged,2,0.004988586077586134
probe,2,0.004988586077586134
procedure,15,0.037414395581896014
producer,1,0.002494293038793067
production,9,0.022448637349137605
program,1,0.002494293038793067
proposal,2,0.004988586077586134
protection,2,0.004988586077586134
provision,1,0.002494293038793067
proxy,1,0.002494293038793067
public,4,0.009977172155172269
puppy,4,0.009977172155172269
purchase,14,0.034920102543102946
quarter,2,0.004988586077586134
questionable,2,0.004988586077586134
quote,2,0.004988586077586134
ranch,6,0.014965758232758404
rather,2,0.004988586077586134
read,3,0.007482879116379202
real,8,0.019954344310344537
received,2,0.004988586077586134
reception,2,0.004988586077586134
recruiting,2,0.004988586077586134
reduced,2,0.004988586077586134
regarding,3,0.007482879116379202
regulatory,2,0.004988586077586134
reimbursement,10,0.024942930387930672
relationship,5,0.012471465193965336
reliance,2,0.004988586077586134
reminder,14,0.034920102543102946
remote,2,0.004988586077586134
renegotiation,1,0.002494293038793067
report,35,0.08730025635775736
request,3,0.007482879116379202
resale,8,0.019954344310344537
reserved,1,0.002494293038793067
reset,4,0.009977172155172269
resolution,4,0.009977172155172269
revere,2,0.004988586077586134
review,6,0.014965758232758404
revision,18,0.04489727469827521
rider,1,0.002494293038793067
river,4,0.009977172155172269
role,2,0.004988586077586134
room,1,0.002494293038793067
roster,2,0.004988586077586134
routing,2,0.004988586077586134
sable,3,0.007482879116379202
sale,38,0.09478313547413655
sample,24,0.059863032931033615
sap,1,0.002494293038793067
save,4,0.009977172155172269
scapegoat,2,0.004988586077586134
schedule,3,0.007482879116379202
school,6,0.014965758232758404
season,4,0.009977172155172269
second,2,0.004988586077586134
security,8,0.019954344310344537
seen,2,0.004988586077586134
select,12,0.029931516465516807
sell,2,0.004988586077586134
send,2,0.004988586077586134
senior,2,0.004988586077586134
sent,1,0.002494293038793067
sequent,2,0.004988586077586134
service,8,0.019954344310344537
shadow,6,0.014965758232758404
shalt,1,0.002494293038793067
shop,4,0.009977172155172269
shuttle,4,0.009977172155172269
silver,1,0.002494293038793067
singer,2,0.004988586077586134
skim,1,0.002494293038793067
smelly,2,0.004988586077586134
solar,6,0.014965758232758404
sole,2,0.004988586077586134
solicitation,2,0.004988586077586134
song,2,0.004988586077586134
source,6,0.014965758232758404
south,4,0.009977172155172269
southern,2,0.004988586077586134
southwestern,1,0.002494293038793067
speaking,2,0.004988586077586134
special,14,0.034920102543102946
spot,5,0.012471465193965336
spring,1,0.002494293038793067
st,4,0.009977172155172269
staff,12,0.029931516465516807
standard,4,0.009977172155172269
star,6,0.014965758232758404
start,2,0.004988586077586134
status,19,0.04739156773706828
stock,1,0.002494293038793067
store,1,0.002494293038793067
strategic,12,0.029931516465516807
stuff,4,0.009977172155172269
subdivision,4,0.009977172155172269
submission,1,0.002494293038793067
summer,1,0.002494293038793067
superior,2,0.004988586077586134
supplemental,8,0.019954344310344537
supply,9,0.022448637349137605
sweetness,2,0.004988586077586134
symbol,1,0.002494293038793067
synchronization,67,0.1671176335991355
system,3,0.007482879116379202
temp,2,0.004988586077586134
template,3,0.007482879116379202
term,1,0.002494293038793067
test,7,0.017460051271551473
th,5,0.012471465193965336
thank,2,0.004988586077586134
thanks,2,0.004988586077586134
thanksgiving,1,0.002494293038793067
third,3,0.007482879116379202
thou,1,0.002494293038793067
threshold,1,0.002494293038793067
tiered,2,0.004988586077586134
tiger,1,0.002494293038793067
time,7,0.017460051271551473
title,2,0.004988586077586134
today,15,0.037414395581896014
toll,2,0.004988586077586134
tomorrow,5,0.012471465193965336
tower,4,0.009977172155172269
trading,22,0.05487444685344748
training,4,0.009977172155172269
transmission,3,0.007482879116379202
transportation,5,0.012471465193965336
trust,1,0.002494293038793067
try,2,0.004988586077586134
tug,1,0.002494293038793067
turn,1,0.002494293038793067
turquoise,1,0.002494293038793067
twine,2,0.004988586077586134
undeliverable,4,0.009977172155172269
upcoming,2,0.004988586077586134
update,76,0.1895662709482731
upgrade,2,0.004988586077586134
upstream,23,0.05736873989224055
urgent,8,0.019954344310344537
vacation,2,0.004988586077586134
valley,4,0.009977172155172269
various,2,0.004988586077586134
version,2,0.004988586077586134
violence,4,0.009977172155172269
virus,7,0.017460051271551473
visiting,4,0.009977172155172269
warranty,1,0.002494293038793067
watch,8,0.019954344310344537
watcher,25,0.06235732596982668
weather,8,0.019954344310344537
wed,1,0.002494293038793067
weekend,24,0.059863032931033615
weekly,5,0.012471465193965336
welcome,1,0.002494293038793067
well,2,0.004988586077586134
wellness,2,0.004988586077586134
west,2,0.004988586077586134
whats,1,0.002494293038793067
whole,2,0.004988586077586134
work,12,0.029931516465516807
world,2,0.004988586077586134
ya,6,0.014965758232758404
year,2,0.004988586077586134
youth,5,0.012471465193965336
